school_name,road,mtb_xc,mtb_st,mtb_enduro,mtb_downhill,mtb_slalom,cyclocross,track,confidence,notes,evidence_url
Bard College,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,"Cycling is listed as available but not sponsored; no discipline breakdown found.",https://bardathletics.com/sports/2010/12/8/intramurals.aspx
Bates College,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,"Student cycling club page describes weekly rides but no race-discipline specifics.",https://engage.bates.edu/cyclingclub/home/
Boston College,true,unknown,unknown,unknown,unknown,unknown,true,unknown,high,"Official club page explicitly says mountain/cyclocross/road; MTB subtype not specified.",https://www.bc.edu/bc-web/offices/rec/sports/club-sports/Club_Sports_Teams/Cycling.html
Boston University,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,"Official page explicitly describes ECCC spring road race focus; no explicit MTB/CX/track support statement.",https://www.bu.edu/fitrec/what-we-offer/clubsims/club-sports/cycling/
Bowdoin College,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,"Official student club posts show repeated ECCC road-race and criterium participation.",https://students.bowdoin.edu/cycling-club/
Brandeis University,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,"Official club page confirms Cycling+Triathlon org but no explicit cycling discipline breakdown.",https://campusgroups.brandeis.edu/cycling/home/
Brown University,true,true,unknown,unknown,unknown,unknown,true,true,medium,"Team page (not on brown.edu domain) states riders race track, mountain bike, cyclocross, and road.",https://browncyclingteam.tumblr.com/about
Bucknell University,true,true,unknown,unknown,unknown,unknown,true,unknown,medium,"Team blog says spring road race season and mentions riders racing mountain bikes and cyclocross.",https://bucknellcyclingteam.blogspot.com/p/prospective-students.html
Carnegie Mellon University,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,"Official CMU org page confirms cycling club and collegiate racing interest but no discipline breakdown.",https://tartanconnect.cmu.edu/cycling/home/
Castleton University,true,true,unknown,unknown,unknown,unknown,true,unknown,high,"Official Castleton club sports page explicitly lists cycling: mountain biking, cyclocross, road biking.",https://castletonsports.com/sports/2020/6/17/recreation-club-sports-index.aspx
